country_name,country_code,year,population,gdp_per_capita_usd,review_reason
British Virgin Islands,VGB,2016,33878.0,,MISSING_GDP
Eritrea,ERI,2017,3150347.0,,MISSING_GDP
Gibraltar,GIB,2017,34245.0,,MISSING_GDP
Not Classified,INX,2017,,,MISSING_POPULATION
St. Martin (French Part),MAF,2017,36837.0,,MISSING_GDP
North Korea,PRK,2017,25817709.0,,MISSING_GDP
South Sudan,SSD,2017,10259154.0,,MISSING_GDP
British Virgin Islands,VGB,2017,32699.0,,MISSING_GDP
Eritrea,ERI,2018,3192760.0,,MISSING_GDP
Gibraltar,GIB,2018,34854.0,,MISSING_GDP
Not Classified,INX,2018,,,MISSING_POPULATION
St. Martin (French Part),MAF,2018,36012.0,,MISSING_GDP
North Korea,PRK,2018,25931147.0,,MISSING_GDP
South Sudan,SSD,2018,10122977.0,,MISSING_GDP
British Virgin Islands,VGB,2018,34657.0,,MISSING_GDP
